yyyymm,tbl,AAA,BAA,lty,default-spread,term-spread
196508,0.0384,0.0449,0.0488,0.0428,0.0039,0.0044
196509,0.0392,0.0452,0.0491,0.0433,0.0039,0.0041
196510,0.0403,0.0456,0.0493,0.0433,0.0037,0.0030
196511,0.0409,0.0460,0.0495,0.0441,0.0035,0.0032
196512,0.0438,0.0468,0.0502,0.0450,0.0034,0.0012
196601,0.0459,0.0474,0.0506,0.0457,0.0032,-0.0002
196602,0.0465,0.0478,0.0512,0.0477,0.0034,0.0012
196603,0.0459,0.0492,0.0532,0.0460,0.0040,0.0001
196604,0.0462,0.0496,0.0541,0.0467,0.0045,0.0005
196605,0.0464,0.0498,0.0548,0.0473,0.0050,0.0009
196606,0.0450,0.0507,0.0558,0.0477,0.0051,0.0027
196607,0.0480,0.0516,0.0568,0.0482,0.0052,0.0002
196608,0.0496,0.0531,0.0583,0.0499,0.0052,0.0003
196609,0.0537,0.0549,0.0609,0.0480,0.0060,-0.0057
196610,0.0535,0.0541,0.0610,0.0467,0.0069,-0.0068
196611,0.0532,0.0535,0.0613,0.0480,0.0078,-0.0052
196612,0.0496,0.0539,0.0618,0.0455,0.0079,-0.0041
196701,0.0472,0.0520,0.0597,0.0448,0.0077,-0.0024
196702,0.0456,0.0503,0.0582,0.0465,0.0079,0.0009
196703,0.0426,0.0513,0.0585,0.0455,0.0072,0.0029
196704,0.0384,0.0511,0.0583,0.0477,0.0072,0.0093
196705,0.0360,0.0524,0.0596,0.0482,0.0072,0.0122
196706,0.0354,0.0544,0.0615,0.0507,0.0071,0.0153
196707,0.0421,0.0558,0.0626,0.0505,0.0068,0.0084
196708,0.0427,0.0562,0.0633,0.0514,0.0071,0.0087
196709,0.0442,0.0565,0.0640,0.0517,0.0075,0.0075
196710,0.0456,0.0582,0.0652,0.0549,0.0070,0.0093
196711,0.0473,0.0607,0.0672,0.0567,0.0065,0.0094
196712,0.0497,0.0619,0.0693,0.0556,0.0074,0.0059
196801,0.0500,0.0617,0.0684,0.0536,0.0067,0.0036
196802,0.0498,0.0610,0.0680,0.0542,0.0070,0.0044
196803,0.0517,0.0611,0.0685,0.0560,0.0074,0.0043
196804,0.0538,0.0621,0.0697,0.0547,0.0076,0.0009
196805,0.0566,0.0627,0.0703,0.0547,0.0076,-0.0019
196806,0.0552,0.0628,0.0707,0.0534,0.0079,-0.0018
196807,0.0531,0.0624,0.0698,0.0517,0.0074,-0.0014
196808,0.0509,0.0602,0.0682,0.0520,0.0080,0.0011
196809,0.0519,0.0597,0.0679,0.0531,0.0082,0.0012
196810,0.0535,0.0609,0.0684,0.0543,0.0075,0.0008
196811,0.0545,0.0619,0.0701,0.0566,0.0082,0.0021
196812,0.0596,0.0645,0.0723,0.0598,0.0078,0.0002
196901,0.0614,0.0659,0.0732,0.0617,0.0073,0.0003
196902,0.0612,0.0666,0.0730,0.0618,0.0064,0.0006
196903,0.0602,0.0685,0.0751,0.0620,0.0066,0.0018
196904,0.0611,0.0689,0.0754,0.0593,0.0065,-0.0018
196905,0.0604,0.0679,0.0752,0.0635,0.0073,0.0031
196906,0.0644,0.0698,0.0770,0.0623,0.0072,-0.0021
196907,0.0700,0.0708,0.0784,0.0621,0.0076,-0.0079
196908,0.0698,0.0697,0.0786,0.0630,0.0089,-0.0068
196909,0.0709,0.0714,0.0805,0.0677,0.0091,-0.0032
196910,0.0700,0.0733,0.0822,0.0653,0.0089,-0.0047
196911,0.0724,0.0735,0.0825,0.0676,0.0090,-0.0048
196912,0.0782,0.0772,0.0865,0.0687,0.0093,-0.0095
197001,0.0787,0.0791,0.0886,0.0693,0.0095,-0.0094
197002,0.0713,0.0793,0.0878,0.0651,0.0085,-0.0062
197003,0.0663,0.0784,0.0863,0.0661,0.0079,-0.0002
197004,0.0651,0.0783,0.0870,0.0699,0.0087,0.0048
197005,0.0684,0.0811,0.0898,0.0743,0.0087,0.0059
197006,0.0668,0.0848,0.0925,0.0709,0.0077,0.0041
197007,0.0645,0.0844,0.0940,0.0687,0.0096,0.0042
197008,0.0641,0.0813,0.0944,0.0694,0.0131,0.0053
197009,0.0612,0.0809,0.0939,0.0680,0.0130,0.0068
197010,0.0591,0.0803,0.0933,0.0693,0.0130,0.0102
197011,0.0528,0.0805,0.0938,0.0637,0.0133,0.0109
197012,0.0487,0.0764,0.0912,0.0648,0.0148,0.0161
197101,0.0444,0.0736,0.0874,0.0612,0.0138,0.0168
197102,0.0370,0.0708,0.0839,0.0629,0.0131,0.0259
197103,0.0338,0.0721,0.0846,0.0593,0.0125,0.0255
